"","Intervalle","Type d'étape","Circuit","Durée","Temps cumulé","Distance","Allure moyenne","Fréquence cardiaque moyenne","Fréquence cardiaque maximale","Ascension totale","Descente totale","Cadence de course moyenne","Longueur moyenne des foulées","Calories","Meilleure allure","Cadence de course maximale","Temps de déplacement","Allure moyenne en déplacement"
"","","Échauffement","1 - 3","14:50","14:50","2.14","6:56","147","171","14","31","153","0.94","161","5:07","165","14:25","6:45"
"","1","Course à pied","4 - 5","5:00","19:50","1.03","4:52","168","177","4","4","164","1.25","78","4:36","169","4:55","4:48"
"","","Repos","6","2:00","21:50","0.28","7:07","171","176","1","0","157","0.90","25","5:12","159","1:56","6:53"
"","2","Course à pied","7 - 8","5:00","26:50","1.02","4:53","167","172","4","6","164","1.24","75","4:48","167","4:57","4:50"
"","","Repos","9","2:00","28:50","0.27","7:28","164","171","1","1","158","0.85","22","4:59","161","1:48","6:44"
"","3","Course à pied","10 - 11","5:00","33:50","1.02","4:53","164","175","2","4","165","1.24","77","4:44","170","5:00","4:53"
"","","Repos","12","2:00","35:50","0.27","7:19","165","173","5","3","158","0.87","24","4:54","161","1:55","7:01"
"","4","Course à pied","13 - 14","5:00","40:50","1.02","4:55","170","175","2","4","164","1.24","76","4:41","167","5:00","4:55"
"","","Récupération","15","4:16.2","45:07","0.63","6:44","161","172","4","4","159","0.94","51","4:59","165","4:15","6:42"
"","Récapitulatif","--","--","45:07","45:07","7.69","5:52","160","177","7","9","159","1.07","581","4:36","170","44:45","5:49"
